word,pos,level,url,uk_audio,us_audio,definition,origin
access to sth,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/access_1#access_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/access__gb_4.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/acces/access__us_2.mp3,the opportunity or right to use something or to see somebody/something,"early 17th cent.: from Latinaccessus, from the verbaccedere‘to approach’, fromad-‘to’ +cedere‘give way, yield’"
above all,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/above_1#above_sng_6,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/above/above__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/above/above__us_2.mp3,at or to a higher place or position than something/somebody,"Old Englishabufan(as an adverb), froma-‘on’ +bufan(frombi‘by’ +ufan‘above’)."
a little more,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/little_3#little_sng_12,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lit/littl/little__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/l/lit/littl/little__us_4.mp3,to a small degree,"Old Englishlȳtel, of Germanic origin; related to Dutchluttel, German dialectlützel."
a number of sth,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/number_1#number_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/num/numbe/number__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/n/num/numbe/number__us_2.mp3,a word or symbol that represents an amount or a quantity,"Middle English: from Old Frenchnombre(noun),nombrer(verb), from Latinnumerus."
a range of sth,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/range_1#range_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/ran/range/range__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/r/ran/range/range__us_1.mp3,a variety of things of a particular type,"Middle English (in the sense ‘line of people or animals’): from Old Frenchrange‘row, rank’, fromrangier‘put in order’, fromrang‘rank’. Early usage also included the notion of ‘movement over an area’."
a little bit,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/bit_1#bit_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bit/bit__/bit__gb_6.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/b/bit/bit__/bit__us_1.mp3,rather; to some extent,"senses 1 to 5 and senses 9 to 10 Old Englishbita‘bite, mouthful’, of Germanic origin; related to GermanBissen, also tobite.senses 7 to 8 Old Englishbite‘biting, a bite’, of Germanic origin; related to Dutchbeetand GermanBiss, also tobite.sense 6 1940s: blend ofbinaryanddigit."
add to sth,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/add-to#add_sng_18,N/A,N/A,"to increase something in size, number, amount, etc.",N/A
a long way,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/long_1#long_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lon/long_/long__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/l/lon/long_/long__us_8.mp3,"measuring or covering a great length or distance, or a greater length or distance than usual","adjectiveOld Englishlang,long(adjective),lange,longe(adverb), of Germanic origin; related to Dutch and Germanlang."
a good idea,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/idea#idea_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ide/idea_/idea__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/i/ide/idea_/idea__us_2.mp3,"a plan, thought or suggestion, especially about what to do in a particular situation","late Middle English (as a term in Platonic philosophy): via Latin from Greekidea‘form, pattern’, from the base ofidein‘to see’."
act as sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/act_1#act_sng_18,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/act__/act__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/act/act__/act__us_2.mp3,to do something for a particular purpose or in order to deal with a situation,N/A
a bit of a…,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/bit_1#bit_sng_15,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bit/bit__/bit__gb_6.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/b/bit/bit__/bit__us_1.mp3,rather; to some extent,"senses 1 to 5 and senses 9 to 10 Old Englishbita‘bite, mouthful’, of Germanic origin; related to GermanBissen, also tobite.senses 7 to 8 Old Englishbite‘biting, a bite’, of Germanic origin; related to Dutchbeetand GermanBiss, also tobite.sense 6 1940s: blend ofbinaryanddigit."
a bit of sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/bit_1#bit_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bit/bit__/bit__gb_6.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/b/bit/bit__/bit__us_1.mp3,rather; to some extent,"senses 1 to 5 and senses 9 to 10 Old Englishbita‘bite, mouthful’, of Germanic origin; related to GermanBissen, also tobite.senses 7 to 8 Old Englishbite‘biting, a bite’, of Germanic origin; related to Dutchbeetand GermanBiss, also tobite.sense 6 1940s: blend ofbinaryanddigit."
able to do sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/able_1#able_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abl/able_/able__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abl/able_/able__us_2.mp3,"having the skill, intelligence, opportunity, etc. needed to do something","late Middle English (also in the sense ‘easy to use, suitable’): from Old Frenchhable, from Latinhabilis‘handy’, fromhabere‘to hold’."
account for sth,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/account-for#accountfor2_e,N/A,N/A,to be the explanation or cause of something,N/A
a lot of sth,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/lot_2#lot_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lot/lot__/lot__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/l/lot/lot__/lot__us_1.mp3,a large number or amount of somebody/something,"Old Englishhlot(noun), of Germanic origin; related to Dutchlot, GermanLos. The original meaning was ‘by lot’ and (by extension) the sense ‘a portion assigned to someone’; this gave rise to the other noun senses. The pronoun and adverb uses date from the early 19th cent."
a variety of sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/variety_1#variety_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/v/var/varie/variety__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/v/var/varie/variety__us_3.mp3,several different sorts of the same thing,"late 15th cent.: from Frenchvariétéor Latinvarietas, fromvarius‘changing, diverse’."
accused of sth,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accuse#accuse_e,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accuse__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accus/accuse__us_2.mp3,to say that somebody has done something wrong or is guilty of something,"Middle English: from Old Frenchacuser, from Latinaccusare‘call to account’, fromad-‘towards’ +causa‘reason, motive, lawsuit’."
after all,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/after_1#after_sng_12,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/after__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aft/after/after__us_2.mp3,later than something; following something in time,"Old Englishæfter, of Germanic origin; related to Dutchachter."
again and again,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/again#again_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aga/again/again__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aga/again/again__us_1.mp3,one more time; on another occasion,"Old Englishongēan,ongægn, etc., of Germanic origin; related to Germanentgegen‘opposite’."
agree with sb,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/agree#agree_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agree/agree__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/agr/agree/agree__us_1.mp3,to have the same opinion as somebody; to say that you have the same opinion,"late Middle English: from Old Frenchagreer, based on Latinad-‘to’ +gratus‘pleasing’."
aim to do sth,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/aim_1#aim_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aim/aim__/aim__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aim/aim__/aim__us_1.mp3,to try or plan to achieve something,N/A
a bit more,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/bit_1#bit_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bit/bit__/bit__gb_6.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/b/bit/bit__/bit__us_1.mp3,rather; to some extent,"senses 1 to 5 and senses 9 to 10 Old Englishbita‘bite, mouthful’, of Germanic origin; related to GermanBissen, also tobite.senses 7 to 8 Old Englishbite‘biting, a bite’, of Germanic origin; related to Dutchbeetand GermanBiss, also tobite.sense 6 1940s: blend ofbinaryanddigit."
all kinds of…,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/kind_1#kind_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kin/kind_/kind__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/k/kin/kind_/kind__us_1.mp3,a group of people or things that are the same in some way; a particular variety or type,"nounOld Englishcynd(e),gecynd(e), of Germanic origin; related tokin. The original sense was ‘nature, the natural order’, also ‘innate character, form, or condition’ (compare with the adjectivekind); hence ‘a class ’or‘ race distinguished by innate characteristics’."
along with sb/sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/along_2#along_sng_7,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alo/along/along__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/alo/along/along__us_2.mp3,forward,"Old Englishandlang, of West Germanic origin; related to the adjectivelong."
a long time ago,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/time_1#time_sng_6,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tim/time_/time__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/t/tim/time_/time__us_1.mp3,"what is measured in minutes, hours, days, etc.","Old Englishtīma, of Germanic origin; related totide, which it superseded in temporal senses. The earliest of the current verb senses (dating from late Middle English) is ‘do (something) at a particular moment’."
aimed at doing sth,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/aim_1#aim_sng_5,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aim/aim__/aim__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aim/aim__/aim__us_1.mp3,to try or plan to achieve something,N/A
all sorts of…,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/sort_1#sort_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sou/sough/sought__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/s/sor/sort_/sort__us_1.mp3,a group or type of people or things that are similar in a particular way,"late Middle English: from Old Frenchsorte, from an alteration of Latinsors,sort-‘lot, condition’."
all about…,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/about_1#about_sng_9,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/about/about__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/about/about__us_1.mp3,on the subject of somebody/something; in connection with somebody/something,N/A
and so on,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/forth_1#so_sng_11,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/for/forth/forth__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/f/for/forth/forth__us_1.mp3,away from a place; out,"Old English, of Germanic origin; related to Dutchvoortand Germanfort, from an Indo-European root shared byfore-."
alternative to sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/alternative_1#alternative_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alt/alter/alternative__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/alt/alter/alternative__us_1.mp3,a thing that you can choose to do or have out of two or more possibilities,"mid 16th cent. (in the sense ‘alternating, alternate’): from Frenchalternatif,-iveor medieval Latinalternativus, from Latinalternare‘interchange’, fromalternus‘every other’, fromalter‘other’."
appeal to sb,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_2#appeal_sng_7,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appea/appeal__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/app/appea/appeal__us_2.mp3,"to make a deeply felt request, especially for something that is needed immediately","Middle English (in legal contexts): from Old Frenchapel(noun),apeler(verb), from Latinappellare‘to address’, based onad-‘to’ +pellere‘to drive’."
aimed at sb,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/aim_1#aim_sng_7,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aim/aim__/aim__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aim/aim__/aim__us_1.mp3,to try or plan to achieve something,N/A
art gallery,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/art-gallery#artgallery_e,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/art/art_g/art_gallery_1_gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/art/art_g/art_gallery_1_us_1.mp3,a building where paintings and other works of art are shown to the public,N/A
all but,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/all_3#all_sng_29,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all__/all__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/all/all__/all__us_1.mp3,completely,"Old Englishall,eall, of Germanic origin; related to Dutchaland Germanall."
apart from,phrase,N/A,https://www.oxfordlearnersdictionaries.com/definition/english/apart-from#apartfrom_e,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/apa/apart/apart_from_1_gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/apa/apart/apart_from_1_us_2.mp3,except for,N/A
arrive at…,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/arrive#arrive_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arr/arriv/arrive__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/arr/arriv/arrive__us_1.mp3,"to get to a place, especially at the end of a journey","Middle English (in the sense ‘reach the shore after a voyage’): from Old Frenchariver, based on Latinad-‘to’ +ripa‘shore’."
anything else,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/anything#anything_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/any/anyth/anything__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/any/anyth/anything__us_1.mp3,"used instead ofsomethingin negative sentences and in questions; afterif/whether; and after verbs such asprevent,ban,avoid, etc.",N/A
arrive in…,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/arrive#arrive_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arr/arriv/arrive__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/arr/arriv/arrive__us_1.mp3,"to get to a place, especially at the end of a journey","Middle English (in the sense ‘reach the shore after a voyage’): from Old Frenchariver, based on Latinad-‘to’ +ripa‘shore’."
apply to sb/sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/apply#apply_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/apply/apply__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/app/apply/apply__us_1.mp3,"to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc.","late Middle English: from Old Frenchaplier, from Latinapplicare‘fold, fasten to’, fromad-‘to’ +plicare‘to fold’."
as a result,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/result_1#result_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/res/resul/result__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/r/res/resul/result__us_1.mp3,a thing that is caused or produced because of something else,"late Middle English (as a verb): from medieval Latinresultare‘to result’, earlier in the sense ‘spring back’, fromre-(expressing intensive force) +saltare(frequentative ofsalire‘to jump’). The noun dates from the early 17th cent."
all the more,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/all_3#all_sng_28,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all__/all__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/all/all__/all__us_1.mp3,completely,"Old Englishall,eall, of Germanic origin; related to Dutchaland Germanall."
apply for sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/apply#apply_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/apply/apply__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/app/apply/apply__us_1.mp3,"to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc.","late Middle English: from Old Frenchaplier, from Latinapplicare‘fold, fasten to’, fromad-‘to’ +plicare‘to fold’."
as a whole,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/whole_2#whole_sng_10,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/who/whole/whole__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/w/who/whole/whole__us_1.mp3,all that there is of something,"Old Englishhāl, of Germanic origin; related to Dutchheeland Germanheil, also to the verbhail(senses 1-3). The spelling withwh-(reflecting a dialect pronunciation withw-) first appeared in the 15th cent."
as long as…,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/long_2#long_sng_33,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lon/long_/long__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/l/lon/long_/long__us_8.mp3,for a long time,"adverbOld Englishlang,long(adjective),lange,longe(adverb), of Germanic origin; related to Dutch and Germanlang."
as far as I am concerned,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/concerned#far_sng_36,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconcerned__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/x/xco/xconc/xconcerned__us_3.mp3,worried and feeling concern about something/somebody,N/A
as if…,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_15,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/as_/as__g/as__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/as_/as__u/as__us_1_rr.mp3,while something else is happening,Middle English: reduced form of Old Englishalswā‘similarly’ (seealso).
as soon as,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/soon#soon_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/soo/soon_/soon__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/s/soo/soon_/soon__us_1.mp3,in a short time from now; a short time after something else has happened,"Old Englishsōna‘immediately’, of West Germanic origin."
as follows…,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/follow#follow_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fol/follo/follow__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/f/fol/follo/follow__us_1.mp3,to come or go after or behind somebody/something,"Old Englishfolgian, of Germanic origin; related to Dutchvolgenand Germanfolgen."
as opposed to,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/opposed#opposed_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/opp/oppos/opposed__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/o/opp/oppos/opposed__us_3.mp3,disagreeing strongly with something and trying to stop it,N/A
as such,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/such#such_sng_5,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/suc/such_/such__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/s/suc/such_/such__us_1.mp3,used to emphasize the great degree of something,"Old Englishswilc,swylc; related to Dutchzulk, Germansolch, from the Germanic bases ofsoandalike."
all over the world,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/world#world_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wor/world/world__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/w/wor/world/world__us_1.mp3,"the earth, with all its countries, peoples and natural features","Old Englishw(e)oruld, from a Germanic compound meaning ‘age of man’; related to Dutchwereldand GermanWelt."
as far as sb/sth is concerned,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/concerned#far_sng_36,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconcerned__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/x/xco/xconc/xconcerned__us_3.mp3,worried and feeling concern about something/somebody,N/A
all over…,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/over_1#over_sng_21,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ove/over_/over__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/o/ove/over_/over__us_1.mp3,resting on the surface of somebody/something and partly or completely covering them/it,N/A
as for sb/sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/as_3#as_sng_13,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/as_/as__g/as__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/as_/as__u/as__us_1_rr.mp3,while something else is happening,Middle English: reduced form of Old Englishalswā‘similarly’ (seealso).
