word,pos,level,url,uk_audio,us_audio,definition,origin
a,indefinite article,A1,https://www.oxfordlearnersdictionaries.com/definition/english/a_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/a__/a__gb/a__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/a__/a__us/a__us_2_rr.mp3,used before countable or singular nouns referring to people or things that have not already been mentioned,Middle English: weak form of Old Englishān‘one’.
accumulate,verb,C1,https://www.oxfordlearnersdictionaries.com/definition/english/accumulate,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulate__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accum/accumulate__us_1.mp3,to gradually get more and more of something over a period of time,"late 15th cent.: from Latinaccumulat-‘heaped up’, from the verbaccumulare, fromad-‘to’ +cumulus‘a heap’."
accountant,noun,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accountant,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountant__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountant__us_1.mp3,a person whose job is to keep or check financial accounts,"Middle English: from Law French, present participle of Old Frenchaconterbased onconter‘to count’. The original use was as an adjective meaning ‘liable to give an account’, denoting a person who must do so."
accommodate,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accommodate__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accommodate__us_1.mp3,"to provide somebody with a room or place to sleep, live or sit","mid 16th cent.: from Latinaccommodat-‘made fitting’, from the verbaccommodare, fromad-‘to’ +commodus‘fitting’."
accident,noun,A2,https://www.oxfordlearnersdictionaries.com/definition/english/accident,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accid/accident__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accid/accident__us_2_rr.mp3,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage","late Middle English (in the general sense ‘an event’): via Old French from Latinaccident-‘happening’, from the verbaccidere, fromad-‘towards, to’ +cadere‘to fall’."
accurate,adjective,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accurate,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accurate__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accurate__us_1.mp3,correct and true in every detail,"late 16th cent.: from Latinaccuratus‘done with care’, past participle ofaccurare, fromad-‘towards’ +cura‘care’."
achievement,noun,B1,https://www.oxfordlearnersdictionaries.com/definition/english/achievement,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achievement__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ach/achie/achievement__us_1.mp3,"a thing that somebody has done successfully, especially using their own effort and skill",N/A
abroad,adverb,A2,https://www.oxfordlearnersdictionaries.com/definition/english/abroad,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abr/abroa/abroad__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abr/abroa/abroad__us_4.mp3,in or to a foreign country,Middle English: froma-‘on’ +broad.
access,verb,B1,https://www.oxfordlearnersdictionaries.com/definition/english/access_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/access__gb_4.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/acces/access__us_2.mp3,to open a computer file or use a computer system,"early 17th cent.: from Latinaccessus, from the verbaccedere‘to approach’, fromad-‘to’ +cedere‘give way, yield’"
activist,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/activist,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/activist__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/act/activ/activist__us_1.mp3,"a person who works to achieve political or social change, especially as a member of an organization with particular aims",N/A
about,preposition,A1,https://www.oxfordlearnersdictionaries.com/definition/english/about_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/about/about__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/about/about__us_1.mp3,on the subject of somebody/something; in connection with somebody/something,N/A
accuse,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accuse,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accuse__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accus/accuse__us_2.mp3,to say that somebody has done something wrong or is guilty of something,"Middle English: from Old Frenchacuser, from Latinaccusare‘call to account’, fromad-‘towards’ +causa‘reason, motive, lawsuit’."
absorb,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/absorb,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absor/absorb__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absor/absorb__us_2_rr.mp3,"to take in a liquid, gas or other substance from the surface or space around","late Middle English: from Latinabsorbere, fromab-‘from’ +sorbere‘suck in’."
abstract,adjective,B2,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/abstr/abstract__gb_5.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/abstr/abstract__us_2_rr.mp3,"based on general ideas and not on any particular real person, thing or situation","Middle English: from Latinabstractus, literally ‘drawn away’, past participle ofabstrahere, fromab-‘from’ +trahere‘draw off’."
accuracy,noun,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accuracy,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accuracy__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accuracy__us_1.mp3,the state of being exact or correct; the ability to do something with skill and without making mistakes,N/A
about,adverb,A1,https://www.oxfordlearnersdictionaries.com/definition/english/about_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/about/about__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/about/about__us_1.mp3,a little more or less than; a little before or after,"Old Englishonbūtan, fromon‘in, on’ +būtan‘outside of’ ."
account,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/account_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/account__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/account__us_1.mp3,to have the opinion that somebody/something is a particular thing,"Middle English (in the sense ‘counting’, ‘to count’): from Old Frenchacont(noun),aconter(verb), based onconter‘to count’."
across,adverb,A1,https://www.oxfordlearnersdictionaries.com/definition/english/across_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acr/acros/across__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acr/acros/across__us_1.mp3,from one side to the other side,"Middle English (as an adverb meaning ‘in the form of a cross’): from Old Frencha croix,en croix‘in or on a cross’, later regarded as being froma-‘to, towards’ +cross."
accidentally,adverb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accid/accidentally__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accid/accidentally__us_1.mp3,by chance; in a way that was not planned,N/A
ad,noun,B1,https://www.oxfordlearnersdictionaries.com/definition/english/ad_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ad_/ad__g/ad__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ad_/ad__u/ad__us_2.mp3,"a notice, picture or film telling people about a product, job or service",mid 19th cent.: abbreviation.
adapt,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/adapt,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ada/adapt/adapt__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ada/adapt/adapt__us_1.mp3,to change your behaviour in order to deal more successfully with a new situation,"late Middle English: from Frenchadapter, from Latinadaptare, fromad-‘to’ +aptare(fromaptus‘fit’)."
addition,noun,B1,https://www.oxfordlearnersdictionaries.com/definition/english/addition,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addit/addition__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/add/addit/addition__us_2.mp3,a thing that is added to something else,"late Middle English: from Latinadditio(n-), from the verbaddere, fromad-‘to’ + the base ofdare‘put’."
adequately,adverb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/adequately,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ade/adequ/adequately__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/ade/adequ/adequately__us_1.mp3,"in a way that is enough in quantity, or good enough in quality, for a particular purpose or need",N/A
accommodation,noun,B1,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accommodation__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accommodation__us_2.mp3,"a place to live, work or stay in","early 17th cent.: from Latinaccommodatio(n-), fromaccommodare‘fit one thing to another’, fromad-‘to’ +commodus‘fitting’."
administer,verb,C1,https://www.oxfordlearnersdictionaries.com/definition/english/administer,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admin/administer__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adm/admin/administer__us_1.mp3,"to manage and organize the affairs of a company, an organization, a country, etc.","late Middle English: via Old French from Latinadministrare, fromad-‘to’ +ministrare‘wait upon’, fromminister‘servant’, fromminus‘less’."
able,adjective,A2,https://www.oxfordlearnersdictionaries.com/definition/english/able_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abl/able_/able__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abl/able_/able__us_2.mp3,"having the skill, intelligence, opportunity, etc. needed to do something","late Middle English (also in the sense ‘easy to use, suitable’): from Old Frenchhable, from Latinhabilis‘handy’, fromhabere‘to hold’."
admire,verb,B1,https://www.oxfordlearnersdictionaries.com/definition/english/admire,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admir/admire__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adm/admir/admire__us_1.mp3,to respect somebody for what they have done or to respect their qualities,"late 16th cent.: from Latinadmirari, fromad-‘at’ +mirari‘wonder’."
add,verb,A1,https://www.oxfordlearnersdictionaries.com/definition/english/add_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/add__/add__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/add/add__/add__us_2.mp3,"to put something together with something else so as to increase the size, number, amount, etc.","late Middle English: from Latinaddere, fromad-‘to’ + the base ofdare‘put’."
administrative,adjective,C1,https://www.oxfordlearnersdictionaries.com/definition/english/administrative,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admin/administrative__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adm/admin/administrative__us_1_rr.mp3,connected with organizing the work of a business or an institution,"mid 18th cent.: from Latinadministrativus, fromadministrat-‘managed’, from the verbadministrare, fromad-‘to’ +ministrare‘wait upon’, fromminister‘servant’, fromminus‘less’."
acquire,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/acquire,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acq/acqui/acquire__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acq/acqui/acquire__us_2.mp3,"to gain something by your own efforts, ability or behaviour","late Middle Englishacquere, from Old Frenchaquerre, based on Latinacquirere‘get in addition’, fromad-‘to’ +quaerere‘seek’. The English spelling was modified (c.1600) by association with the Latin word."
actually,adverb,A2,https://www.oxfordlearnersdictionaries.com/definition/english/actually,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/actua/actually__gb_5.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/act/actua/actually__us_1_rr.mp3,"used in speaking to emphasize a fact or a comment, or that something is really true",N/A
address,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/address_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addre/address__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/add/addre/address__us_2_rr.mp3,to think about a problem or a situation and decide how you are going to deal with it,"Middle English (as a verb in the senses ‘set upright’ and ‘guide, direct’, hence ‘write directions for delivery on’ and ‘direct spoken words to’): from Old French, based on Latinad-‘towards’ +directuspast participle ofdirigere, fromdi-‘distinctly’ orde-‘down’ +regere‘put straight’. The noun is of mid 16th-cent. origin in the sense ‘act of approaching or speaking to somebody’."
act,verb,A2,https://www.oxfordlearnersdictionaries.com/definition/english/act_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/act__/act__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/act/act__/act__us_2.mp3,to do something for a particular purpose or in order to deal with a situation,N/A
administrator,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/administrator,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admin/administrator__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adm/admin/administrator__us_1.mp3,"a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc.","late Middle English: from Latin, from the verbadministrare, fromad-‘to’ +ministrare‘wait upon’, fromminister‘servant’, fromminus‘less’."
abuse,verb,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abuse/abuse__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abuse/abuse__us_1.mp3,"to make bad use of something, or to use so much of something that it harms your health","late Middle English: via Old French from Latinabus-‘misused’, from the verbabuti, fromab-‘away’ (i.e. ‘wrongly’) +uti‘to use’."
act,noun,B1,https://www.oxfordlearnersdictionaries.com/definition/english/act_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/act__/act__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/act/act__/act__us_2.mp3,a particular thing that somebody does,"late Middle English: from Latinactus‘event, thing done’,act-‘done’, from the verbagere, reinforced by the French nounacte."
